ID_compra,ID_cliente,ciudad,estado,region,edad,sexo_biologico,cashback,nota
904,8972,Oaxaca de Juárez,Oaxaca,Sur,49,Masculino,No,9
4613,5120,Ciudad de México,Ciudad de México,Centro,49,Femenino,No,9
5579,1847,Ciudad de México,Ciudad de México,Centro,24,Femenino,No,8
2405,2846,Ciudad de México,Ciudad de México,Centro,38,Femenino,Sí,7
2485,2715,Chihuahua,Chihuahua,Noroeste,30,Femenino,No,10
756,9555,Saltillo,Coahuila,Noreste,46,Femenino,No,7
3020,3793,Durango,Durango,Noroeste,32,Masculino,Sí,9
2390,4903,Ciudad de México,Ciudad de México,Centro,26,Masculino,No,9
3957,3413,Chihuahua,Chihuahua,Noroeste,30,Femenino,No,10
5142,3556,Chihuahua,Chihuahua,Noroeste,28,Femenino,No,8
4696,3927,Guadalajara,Jalisco,Occidente,25,Femenino,No,7
5890,6238,Ciudad de México,Ciudad de México,Centro,31,Masculino,Sí,10
1903,7418,Ciudad de México,Ciudad de México,Centro,40,Femenino,No,9
3116,9946,Ciudad de México,Ciudad de México,Centro,40,Masculino,No,8
5,9491,Ciudad de México,Ciudad de México,Centro,36,Masculino,Sí,8
3047,5611,Hermosillo,Sonora,Noroeste,50,Femenino,No,7
1393,9042,Saltillo,Coahuila,Noreste,25,Masculino,No,10
2602,3552,Durango,Durango,Noroeste,44,Masculino,No,10
2064,7165,Cholula,Puebla,Centro-Sur,50,Femenino,No,8
1462,9413,Ciudad de México,Ciudad de México,Centro,52,Masculino,No,9
2805,1435,Ciudad de México,Ciudad de México,Centro,51,Femenino,No,9
982,2760,Ciudad de México,Ciudad de México,Centro,22,Femenino,Sí,9
2198,4594,Ciudad de México,Ciudad de México,Centro,37,Masculino,No,7
4833,4354,Guadalajara,Jalisco,Occidente,38,Masculino,Sí,9
3058,6519,Ciudad de México,Ciudad de México,Centro,33,Femenino,No,7
458,3325,Chihuahua,Chihuahua,Noroeste,45,Masculino,No,6
1979,1116,Ciudad de México,Ciudad de México,Centro,19,Masculino,No,9
3730,7929,Toluca,Estado de México,Centro,32,Femenino,Sí,9
3553,7765,Toluca,Estado de México,Centro,25,Femenino,No,9
2063,6956,Ciudad de México,Ciudad de México,Centro,26,Masculino,Sí,9
516,7848,Toluca,Estado de México,Centro,34,Femenino,Sí,4
