ID_compra,fecha,horario,categoria,precio_unitario,cantidad,envio,metodo_pago
6,2023-01-03,20:40,Electrónicos,4457.9,4,713.26,Paypal
5,2023-01-03,21:48,Herramientas y construcción,115.9,1,0.0,Transferencia
9,2023-01-03,17:08,Belleza e higiene,68.9,2,13.78,Tarjeta de Crédito
4,2023-01-03,14:29,Herramientas y construcción,80.9,5,40.45,Transferencia
8,2023-01-03,18:02,Belleza e higiene,165.0,4,0.0,Transferencia
2,2023-01-03,18:42,Electrónicos,5747.9,5,1724.37,Transferencia
3,2023-01-03,23:47,Alimentos y bebidas,84.9,5,0.0,Tarjeta de Crédito
1,2023-01-03,00:13,Electrodomésticos,3465.9,1,138.64,Transferencia
7,2023-01-03,17:40,Libros,75.9,5,18.98,Tarjeta de Crédito
11,2023-01-04,21:50,Casa y aseo,13.9,5,3.48,Transferencia
19,2023-01-04,20:19,Electrónicos,4196.9,4,2014.51,Transferencia
13,2023-01-04,23:25,Belleza e higiene,84.9,3,5.09,Tarjeta de Crédito
12,2023-01-04,18:44,Casa y aseo,40.9,3,7.36,Tarjeta de Débito
14,2023-01-04,18:22,Casa y aseo,93.9,3,22.54,Transferencia
17,2023-01-04,18:29,Belleza e higiene,188.9,3,34.0,Tarjeta de Crédito
16,2023-01-04,00:04,Libros,43.9,2,7.02,Tarjeta de Crédito
18,2023-01-04,00:09,Alimentos y bebidas,61.0,5,0.0,Tarjeta de Crédito
10,2023-01-04,21:41,Casa y aseo,106.9,4,0.0,Tarjeta de Débito
15,2023-01-04,19:42,Alimentos y bebidas,85.9,4,13.74,Tarjeta de Crédito
20,2023-01-04,20:09,Casa y aseo,195.9,1,3.92,Tarjeta de Crédito
26,2023-01-05,17:24,Alimentos y bebidas,68.9,5,37.9,Tarjeta de Débito
27,2023-01-05,22:37,Belleza e higiene,67.9,5,23.76,Paypal
22,2023-01-05,18:40,Casa y aseo,122.9,1,12.29,Tarjeta de Crédito
29,2023-01-05,23:59,Casa y aseo,173.0,3,46.71,Tarjeta de Crédito
28,2023-01-05,14:10,Alimentos y bebidas,56.9,5,0.0,Tarjeta de Crédito
25,2023-01-05,17:42,Casa y aseo,24.9,4,0.0,Tarjeta de Crédito
21,2023-01-05,00:58,Herramientas y construcción,143.9,3,0.0,Tarjeta de Crédito
24,2023-01-05,17:12,Casa y aseo,5.9,1,0.53,Tarjeta de Crédito
23,2023-01-05,23:49,Electrónicos,6943.9,4,1944.29,Transferencia
30,2023-01-05,21:29,Libros,21.9,1,1.1,Transferencia
36,2023-01-06,17:49,Electrodomésticos,740.9,4,0.0,Tarjeta de Crédito
31,2023-01-06,16:47,Belleza e higiene,67.9,1,3.4,Transferencia
34,2023-01-06,23:48,Alimentos y bebidas,62.9,3,5.66,Tarjeta de Crédito
32,2023-01-06,23:31,Alimentos y bebidas,13.9,4,4.45,Transferencia
35,2023-01-06,21:40,Alimentos y bebidas,41.9,3,0.0,Tarjeta de Débito
39,2023-01-06,15:21,Libros,48.9,1,0.0,Transferencia
38,2023-01-06,23:36,Alimentos y bebidas,62.9,2,5.03,Transferencia
33,2023-01-06,18:12,Casa y aseo,164.9,3,9.89,Tarjeta de Crédito
37,2023-01-06,00:31,Electrodomésticos,1754.0,3,0.0,Tarjeta de Crédito
42,2023-01-07,16:22,Belleza e higiene,174.9,3,5.25,Transferencia
47,2023-01-07,23:46,Alimentos y bebidas,47.9,1,1.44,Transferencia
46,2023-01-07,21:27,Herramientas y construcción,135.0,2,0.0,Tarjeta de Crédito
40,2023-01-07,17:11,Papelería y oficina,7.0,2,0.7,Transferencia
49,2023-01-07,21:17,Herramientas y construcción,299.9,3,0.0,Tarjeta de Crédito
50,2023-01-07,20:28,Alimentos y bebidas,45.9,3,11.02,Transferencia
45,2023-01-07,20:10,Herramientas y construcción,264.9,5,79.47,Tarjeta de Crédito
41,2023-01-07,18:47,Belleza e higiene,191.9,4,53.73,Transferencia
48,2023-01-07,16:53,Alimentos y bebidas,31.9,1,1.91,Tarjeta de Crédito
43,2023-01-07,22:29,Alimentos y bebidas,95.9,3,8.63,Transferencia
44,2023-01-07,23:08,Belleza e higiene,131.9,5,46.17,Tarjeta de Débito
52,2023-01-08,15:59,Electrónicos,6130.9,3,919.63,Tarjeta de Crédito
51,2023-01-08,22:54,Papelería y oficina,9.0,5,2.25,Tarjeta de Crédito
53,2023-01-08,00:08,Papelería y oficina,48.9,2,4.89,Transferencia
57,2023-01-08,17:25,Alimentos y bebidas,58.9,5,23.56,Transferencia
58,2023-01-08,21:29,Alimentos y bebidas,45.9,5,11.48,Transferencia
55,2023-01-08,00:07,Electrodomésticos,238.9,1,19.11,Transferencia
54,2023-01-08,23:32,Belleza e higiene,220.0,5,55.0,Tarjeta de Crédito
56,2023-01-08,18:50,Electrónicos,6256.9,1,625.69,Transferencia
64,2023-01-10,23:26,Alimentos y bebidas,68.9,1,4.82,Transferencia
66,2023-01-10,23:21,Belleza e higiene,155.9,1,7.8,Transferencia
62,2023-01-10,20:10,Belleza e higiene,203.9,3,12.23,Transferencia
67,2023-01-10,20:31,Papelería y oficina,6.9,3,0.83,Tarjeta de Crédito
59,2023-01-10,16:18,Alimentos y bebidas,99.9,4,15.98,Transferencia
65,2023-01-10,20:42,Alimentos y bebidas,27.9,4,3.35,Transferencia
60,2023-01-10,18:15,Papelería y oficina,13.9,1,0.83,Transferencia
69,2023-01-10,18:29,Casa y aseo,73.9,5,25.86,Transferencia
63,2023-01-10,20:02,Belleza e higiene,124.9,1,11.24,Tarjeta de Débito
70,2023-01-10,23:11,Casa y aseo,168.9,2,10.13,Tarjeta de Crédito
61,2023-01-10,17:30,Belleza e higiene,103.9,3,18.7,Tarjeta de Crédito
